asset_type,substation_1,substation_2,x1,y1,x2,y2,status,specified_length_km,commissioning_year,ac_dc,underground,voltage,p_nom_max,investment_id,project_id,remarks,url,description
line,Maritsa East 1 (BG),Plovdiv (BG),25.911389,42.154444,24.7701,42.113,in_permitting,94.0,2022,AC,False,400.0,,257,142,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,New 94km single circuit 400kV OHL in parallel to the existing one.
line,Maritsa East 1 (BG),Maritsa East 3 (BG),25.911389,42.154444,25.626389,42.054167,under_construction,13.0,2021,AC,False,400.0,,258,142,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,New 13km single circuit 400kV OHL in parallel to the existing one.
line,Maritsa East 1 (BG),Burgas (BG),25.911389,42.154444,27.3568,42.6172,under_construction,150.0,2021,AC,False,400.0,,262,142,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/142,New 400kV OHL. Line lengt 150km.
substation,Resita (RO),,21.88777,45.30413,,,under_construction,0.0,2025,AC,False,400.0,,701,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,"New 400 kV substation Resita (T400/220 kV 400 MVA + T 400/110 kV 250 MVA), as development of the existing 220/110 kV substation."
substation,Timisoara (RO),,21.2815,45.7426,,,in_permitting,0.0,2025,AC,False,400.0,,705,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,Replacement of 220 kV substation Timisoara with 400 kV substation (2x250 MVA 400/110 kV)
line,Resita (RO),Pancevo (RS),21.88777,45.30413,20.69898,44.86874,under_construction,131.0,2024,AC,False,400.0,,238,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,New 131 km double circuit 400kV OHL between Romania and Serbia (63 km on Romanian (thermal limit 2513 A) side and 68 km on Serbian (thermal limit 1920 A) side).
line,Portile de Fier (RO),Resita (RO),22.539073,44.67264,21.88777,45.30413,under_construction,116.0,2024,AC,False,400.0,,269,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,New 116 km 400kV OHL single circuit between existing substation 400 kV Portile de Fier and new 400 kV substation Resita.
line,Resita (RO),Timisoara (RO),21.88777,45.30413,21.2815,45.7426,in_permitting,74.0,2025,AC,False,400.0,,270,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,"Upgrade of an existing 220 kV AC double circuit line (OHL) between Resita - Timisoara (RO) to 400 kV double circuit line Resita-Timisoara/Sacalaz of which: 74 km from Resita to Timisoara and 92 km from Resita to Sacalaz , both overhead lines will be built on common towers up to Icloda on 58 km. Upgrade of the existing 220 kV AC double circuit line (OHL) Timisoara/Sacalaz-Arad to 400 kV on 67 km of which: 14 km of line will be build single circuit between Sacalaz-C.Aradului- <connection point>, 11 km single circuit from Timisoara to <connection point> and the rest 42 km of the line will be double circuit from <connection point> to Arad."
line,Timisoara (RO),Sacalaz (RO),21.2815,45.7426,21.159128,45.760573,in_permitting,274.0,2025,AC,False,400.0,,270,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,"Upgrade of an existing 220 kV AC double circuit line (OHL) between Resita - Timisoara (RO) to 400 kV double circuit line Resita-Timisoara/Sacalaz of which: 74 km from Resita to Timisoara and 92 km from Resita to Sacalaz , both overhead lines will be built on common towers up to Icloda on 58 km. Upgrade of the existing 220 kV AC double circuit line (OHL) Timisoara/Sacalaz-Arad to 400 kV on 67 km of which: 14 km of line will be build single circuit between Sacalaz-C.Aradului-<connection point>, 11 km single circuit from Timisoara to <connection point> and the rest 42 km of the line will be double circuit from <connection point> to Arad."
line,Sacalaz (RO),Arad (RO),21.159128,45.760573,21.378165,46.183637,in_permitting,274.0,2025,AC,False,400.0,,270,144,,https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/144,"Upgrade of an existing 220 kV AC double circuit line (OHL) between Resita - Timisoara (RO) to 400 kV double circuit line Resita-Timisoara/Sacalaz of which: 74 km from Resita to Timisoara and 92 km from Resita to Sacalaz , both overhead lines will be built on common towers up to Icloda on 58 km. Upgrade of the existing 220 kV AC double circuit line (OHL) Timisoara/Sacalaz-Arad to 400 kV on 67 km of which: 14 km of line will be build single circuit between Sacalaz-C.Aradului-<connection point>, 11 km single circuit from Timisoara to <connection point> and the rest 42 km of the line will be double circuit from <connection point> to Arad."
