,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
259,planned_not_yet_permitting,140.0,2027,False,220.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/375"", ""tyndp2020_proj_id""=>""375""",3435,3416,"LINESTRING (12.693329 46.798179, 11.666107 45.792425)"
263,under_consideration,38.8,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/379"", ""tyndp2020_proj_id""=>""379""",2623,2619,"LINESTRING (-2.880286 43.349776, -3.05282599999999 43.265206)"
264,under_consideration,69.12,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/379"", ""tyndp2020_proj_id""=>""379""",2623,2721,"LINESTRING (-2.880286 43.349776, -2.24395799999999 43.047816)"
265,under_consideration,57.0,2025,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/379"", ""tyndp2020_proj_id""=>""379""",2623,8379,"LINESTRING (-2.880286 43.349776, -2.20687899999999 43.098977)"
273,under_consideration,170.0,2030,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1042"", ""tyndp2020_proj_id""=>""1042""",6303,6277,"LINESTRING (21.295624 56.032924, 23.506622 56.113404)"
274,under_consideration,72.0,2030,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1042"", ""tyndp2020_proj_id""=>""1042""",5540,6277,"LINESTRING (24.307251 55.762668, 23.506622 56.113404)"
275,under_construction,14.0,2021,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1043"", ""tyndp2020_proj_id""=>""1043""",5862,5862,"LINESTRING (9.48532099999999 53.629168, 9.48532099999999 53.629168)"
276,under_construction,60.0,2024,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1043"", ""tyndp2020_proj_id""=>""1043""",4888,4893,"LINESTRING (10.299683 52.286643, 9.988131 51.954234)"
277,under_construction,45.0,2024,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1043"", ""tyndp2020_proj_id""=>""1043""",4893,7632,"LINESTRING (9.988131 51.954234, 9.852428 51.649318)"
278,under_construction,105.0,2024,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1043"", ""tyndp2020_proj_id""=>""1043""",7632,4885,"LINESTRING (9.852428 51.649318, 9.621277 50.85971)"
281,in_permitting,290.0,2028,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1046"", ""tyndp2020_proj_id""=>""1046""",6923,6790,"LINESTRING (26.842346 64.556701, 27.766571 62.262171)"
